File_Name,File_Path,Img_Height,Img_Width,X_Min,X_Max,Y_Min,Y_Max,Affection,Anger,Annoyance,Anticipation,Confidence,Disconnection,Disquietment,Doubt/Confusion,Engagement,Esteem,Excitement,Fatigue,Happiness,Peace,Pleasure,Sadness,Sensitivity,Surprise,Sympathy,Label_Names
COCO_train2014_000000196197.jpg,/content/drive/MyDrive/EMOTIC_YO/emotic/mscoco/images/COCO_train2014_000000196197.jpg,480,640,149,258,122,393,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anticipation
COCO_val2014_000000544629.jpg,/content/drive/MyDrive/EMOTIC_YO/emotic/mscoco/images/COCO_val2014_000000544629.jpg,640,427,158,280,116,333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anticipation
COCO_train2014_000000332322.jpg,/content/drive/MyDrive/EMOTIC_YO/emotic/mscoco/images/COCO_train2014_000000332322.jpg,375,640,167,374,44,252,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anticipation
COCO_train2014_000000247422.jpg,/content/drive/MyDrive/EMOTIC_YO/emotic/mscoco/images/COCO_train2014_000000247422.jpg,242,500,6,82,28,230,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anticipation
COCO_train2014_000000287038.jpg,/content/drive/MyDrive/EMOTIC_YO/emotic/mscoco/images/COCO_train2014_000000287038.jpg,427,640,266,464,115,268,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anticipation
COCO_train2014_000000170388.jpg,/content/drive/MyDrive/EMOTIC_YO/emotic/mscoco/images/COCO_train2014_000000170388.jpg,480,640,110,196,81,458,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anticipation
COCO_train2014_000000334852.jpg,/content/drive/MyDrive/EMOTIC_YO/emotic/mscoco/images/COCO_train2014_000000334852.jpg,480,640,280,416,136,363,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anticipation
COCO_train2014_000000346168.jpg,/content/drive/MyDrive/EMOTIC_YO/emotic/mscoco/images/COCO_train2014_000000346168.jpg,333,500,55,204,26,327,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anticipation
COCO_train2014_000000386203.jpg,/content/drive/MyDrive/EMOTIC_YO/emotic/mscoco/images/COCO_train2014_000000386203.jpg,480,640,36,202,82,469,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anticipation
COCO_train2014_000000313278.jpg,/content/drive/MyDrive/EMOTIC_YO/emotic/mscoco/images/COCO_train2014_000000313278.jpg,356,480,266,454,33,313,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anticipation
COCO_train2014_000000260138.jpg,/content/drive/MyDrive/EMOTIC_YO/emotic/mscoco/images/COCO_train2014_000000260138.jpg,480,640,360,494,151,418,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anticipation
frame_h22x62l4t4rsf3iy.jpg,/content/drive/MyDrive/EMOTIC_YO/emotic/framesdb/images/frame_h22x62l4t4rsf3iy.jpg,366,650,247,368,54,353,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anticipation
COCO_train2014_000000253031.jpg,/content/drive/MyDrive/EMOTIC_YO/emotic/mscoco/images/COCO_train2014_000000253031.jpg,480,640,266,420,176,398,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anticipation
COCO_train2014_000000282482.jpg,/content/drive/MyDrive/EMOTIC_YO/emotic/mscoco/images/COCO_train2014_000000282482.jpg,460,640,158,379,105,373,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anticipation
COCO_train2014_000000194738.jpg,/content/drive/MyDrive/EMOTIC_YO/emotic/mscoco/images/COCO_train2014_000000194738.jpg,623,640,60,236,254,520,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anticipation
COCO_train2014_000000371536.jpg,/content/drive/MyDrive/EMOTIC_YO/emotic/mscoco/images/COCO_train2014_000000371536.jpg,425,640,12,364,21,419,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anticipation
COCO_train2014_000000136241.jpg,/content/drive/MyDrive/EMOTIC_YO/emotic/mscoco/images/COCO_train2014_000000136241.jpg,427,640,252,524,86,423,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anticipation
COCO_train2014_000000331133.jpg,/content/drive/MyDrive/EMOTIC_YO/emotic/mscoco/images/COCO_train2014_000000331133.jpg,427,640,382,502,50,405,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anticipation
COCO_train2014_000000264526.jpg,/content/drive/MyDrive/EMOTIC_YO/emotic/mscoco/images/COCO_train2014_000000264526.jpg,427,640,163,352,26,375,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anticipation
COCO_train2014_000000233833.jpg,/content/drive/MyDrive/EMOTIC_YO/emotic/mscoco/images/COCO_train2014_000000233833.jpg,427,640,357,562,34,383,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anticipation
COCO_train2014_000000370836.jpg,/content/drive/MyDrive/EMOTIC_YO/emotic/mscoco/images/COCO_train2014_000000370836.jpg,424,640,275,399,208,420,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anticipation
COCO_train2014_000000555143.jpg,/content/drive/MyDrive/EMOTIC_YO/emotic/mscoco/images/COCO_train2014_000000555143.jpg,428,640,97,222,177,397,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anticipation
COCO_train2014_000000406982.jpg,/content/drive/MyDrive/EMOTIC_YO/emotic/mscoco/images/COCO_train2014_000000406982.jpg,460,640,169,390,70,408,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anticipation
COCO_train2014_000000217487.jpg,/content/drive/MyDrive/EMOTIC_YO/emotic/mscoco/images/COCO_train2014_000000217487.jpg,429,640,316,466,163,329,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anticipation
COCO_train2014_000000421150.jpg,/content/drive/MyDrive/EMOTIC_YO/emotic/mscoco/images/COCO_train2014_000000421150.jpg,425,640,256,352,125,383,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anticipation
